NodeID, Q1, Q2, P1, P2, DeltaQ, DeltaP, MinOp Violated, Count, No1 Src initial %, No1 Src final %, BACKUP Src initial %, BACKUP Src final %, Chk Initial Src Impact Total %, Chk Final Src Impact Total %
CD_242_IP,-2.784,-5.783999,49.69136,49.39315,2.999999,0.2982063,False,0,100,99.99998,0,0,100,99.99998
CD_244_IP,-1.56,-4.56,49.72053,49.44403,3,0.2764969,False,0,100,100,0,0,100,100
CD_245_IP,-1.632,-4.632,46.38614,45.30574,3,1.080402,False,0,100,100,0,0,100,100
CD_223_IP,-0.888,-3.888,46.37058,45.10232,3,1.268261,False,0,100,99.99998,0,0,100,99.99998
CD_246_IP,-2.208,-5.208,46.49297,45.46291,3,1.030052,False,0,100,100,0,0,100,100
CD_247_IP,-1.176,-4.176,46.47135,45.25583,3,1.215515,False,0,100,100,0,0,100,100
CD_249_IP,-2.16,-5.16,48.43226,47.97521,3,0.4570465,False,0,100,100,0,0,100,100
CD_252_IP,-1.896,-4.896,48.29969,47.8564,3,0.4432983,False,0,100,99.99998,0,0,100,99.99998
CD_251_IP,-2.592,-5.592,48.60382,48.19202,3,0.4118042,False,0,100,100,0,0,100,100
CD_257_IP,-0.312,-3.312,48.39494,47.95857,3,0.4363632,False,0,100,100,0,0,100,100
CD_254_IP,-0.336,-3.336,48.60232,48.10946,3,0.4928589,False,0,100,100,0,0,100,100
CD_255_IP,-1.488,-4.488,48.4085,47.80685,3,0.6016541,False,0,100,100,0,0,100,100
CD_256_IP,0,-3,48.43184,47.94057,3,0.4912682,False,0,0,100,0,0,0,100
CD_253_IP,-2.112,-5.112,48.19547,47.42754,3,0.7679329,False,0,100,100,0,0,100,100
CD_258_IP,-0.792,-3.792,49.87288,49.78208,3,0.09079742,False,0,100,100,0,0,100,100
CD_259_IP,-0.888,-3.888,46.38733,45.30326,3,1.084068,False,0,100,99.99998,0,0,100,99.99998
CD_260_IP,0,-3,46.38645,45.27342,3,1.113033,False,0,0,99.99998,0,0,0,99.99998
CD_262_IP,-1.968,-4.968,46.3704,45.13157,3,1.238831,False,0,100,100,0,0,100,100
CD_263_IP,-1.584,-4.584,46.34613,45.04172,3,1.304405,False,0,100,100,0,0,100,100
CD_264_IP,-0.7679999,-3.768,49.7872,49.71667,3,0.07052231,False,0,100,100,0,0,100,100
CD_275_IP,-1.944,-4.944,49.78762,49.7162,3,0.07142258,False,0,100,100,0,0,100,100
CD_268_IP,-1.056,-4.056,49.49707,49.19481,3,0.3022614,False,0,100,99.99999,0,0,100,99.99999
CD_266_IP,-0.36,-3.36,49.41438,49.04361,3,0.3707657,False,0,100,100,0,0,100,100
CD_265_IP,-2.616,-5.616,49.40959,49.01356,3,0.3960304,False,0,99.99998,100,0,0,99.99998,100
CD_267_IP,-1.992,-4.992,49.37033,48.81689,3,0.5534325,False,0,100,100,0,0,100,100
CD_269_IP,-1.656,-4.656,49.46283,48.98021,3,0.4826164,False,0,100,100,0,0,100,100
CD_271_IP,-1.32,-4.32,49.44721,49.0596,3,0.3876038,False,0,100,100,0,0,100,100
CD_272_IP,0,-3,49.44702,49.01179,3,0.4352341,False,0,0,100,0,0,0,100
CD_273_IP,-2.784,-5.783999,49.78922,49.71667,2.999999,0.07255173,False,0,100,100,0,0,100,100
CD_276_IP,-1.44,-4.44,49.81915,49.73814,3,0.0810051,False,0,100,99.99998,0,0,100,99.99998
CD_274_IP,-2.112,-5.112,49.67983,49.18741,3,0.4924164,False,0,100,99.99998,0,0,100,99.99998
CD_280_IP,-0.408,-3.408,49.84294,49.75709,3,0.08584595,False,0,100,100,0,0,100,100
CD_277_IP,-2.016,-5.016,49.76932,49.64074,3,0.1285744,False,0,100,99.99998,0,0,100,99.99998
CD_278_IP,-0.408,-3.408,49.76663,49.62904,3,0.1375923,False,0,100,100,0,0,100,100
CD_279_IP,-1.512,-4.512,49.73394,49.4012,3,0.3327408,False,0,100,100,0,0,100,100
CD_281_IP,-0.6,-3.6,49.79962,48.73492,3,1.064697,False,0,100,99.99998,0,0,100,99.99998
CD_282_IP,-2.064,-5.064,48.13377,47.1153,3,1.018463,False,0,100,99.99998,0,0,100,99.99998
CD_311_IP,-0.576,-3.576,50.51543,50.35876,3,0.156662,False,0,100,100,0,0,100,100
CD_325_IP,-2.592,-5.592,52.86452,52.71923,3,0.1452866,False,0,100,99.99998,0,0,100,99.99998
CD_283_IP,-0.6,-3.6,50.94302,50.74398,3,0.1990471,False,0,100,99.99999,0,0,100,99.99999
CD_312_IP,-1.944,-4.944,51.25405,51.04816,3,0.2058907,False,0,100,99.99999,0,0,100,99.99999
CD_297_IP,-0.408,-3.408,54.20109,54.03252,3,0.1685715,False,0,100,100,0,0,100,100
CD_288_IP,-1.824,-4.824,53.63952,53.41403,3,0.2254906,False,0,100,100,0,0,100,100
CD_286_IP,-1.152,-4.152,53.63634,53.38475,3,0.2515869,False,0,100,99.99999,0,0,100,99.99999
CD_291_IP,-1.2,-4.2,53.16923,52.65072,3,0.5185051,False,0,100,100,0,0,100,100
CD_289_IP,-2.136,-5.136,53.18021,52.70122,3,0.4789886,False,0,100,99.99999,0,0,100,99.99999
CD_295_IP,-2.376,-5.376,53.30075,52.91576,3,0.3849983,False,0,100,99.99999,0,0,100,99.99999
CD_290_IP,-0.672,-3.672,53.16239,52.34283,3,0.819561,False,0,100,100,0,0,100,100
CD_293_IP,0,-3,53.17566,52.67973,3,0.4959259,False,0,100,100,0,0,100,100
CD_292_IP,-2.4,-5.4,53.02572,52.03668,3,0.9890404,False,0,100,100,0,0,100,100
CD_294_IP,0,-3,53.17564,52.63942,3,0.5362282,False,0,0,100,0,0,0,100
CD_296_IP,-2.76,-5.76,53.14753,52.34395,3,0.8035736,False,0,100,100,0,0,100,100
CD_306_IP,-2.496,-5.496,53.816,53.61639,3,0.1996078,False,0,100,99.99999,0,0,100,99.99999
CD_298_IP,-1.776,-4.776,52.83278,52.68037,3,0.1524086,False,0,100,99.99999,0,0,100,99.99999
CD_299_IP,-0.336,-3.336,51.75177,51.58572,3,0.16605,False,0,99.99998,99.99998,0,0,99.99998,99.99998
CD_302_IP,-0.816,-3.816,51.48692,51.31984,3,0.1670837,False,0,99.99998,100,0,0,99.99998,100
CD_326_IP,-0.336,-3.336,52.608,52.36817,3,0.2398338,False,0,100,100,0,0,100,100
CD_301_IP,-0.936,-3.936,51.87087,51.38286,3,0.4880066,False,0,100,100,0,0,100,100
CD_303_IP,-2.448,-5.448,51.37666,50.85963,3,0.5170326,False,0,99.99998,100,0,0,99.99998,100
CD_304_IP,-2.52,-5.52,51.8241,51.19271,3,0.6313896,False,0,100,100,0,0,100,100
